timestamp;x (in G's);y (in G's);z (in G's)
1600601969.495436;-0.115997;-0.253357;-0.919479
1600601969.524580;-0.119568;-0.260300;-0.913162
1600601969.543989;-0.112442;-0.269501;-0.923172
1600601969.563429;-0.109131;-0.271896;-0.930359
1600601969.582838;-0.105515;-0.282837;-0.922470
1600601969.602278;-0.099442;-0.289520;-0.912872
1600601969.621718;-0.089310;-0.292206;-0.928391
1600601969.641127;-0.073959;-0.283707;-0.948441
1600601969.660566;-0.077301;-0.278870;-0.966476
1600601969.679976;-0.098267;-0.261826;-0.972382
1600601969.699415;-0.099121;-0.258865;-0.985138
1600601969.718824;-0.092941;-0.267670;-0.999344
1600601969.738264;-0.087952;-0.268463;-1.013702
1600601969.757673;-0.103561;-0.268341;-1.026306
1600601969.777113;-0.120621;-0.265274;-1.024414
1600601969.796522;-0.131149;-0.253326;-1.016113
1600601969.815962;-0.134262;-0.272202;-1.004105
1600601969.835371;-0.125854;-0.257828;-0.997574
1600601969.854811;-0.117020;-0.251373;-1.001373
1600601969.874250;-0.103226;-0.222824;-1.010544
1600601969.893660;-0.085327;-0.204468;-1.032104
1600601969.913099;-0.062759;-0.190460;-1.042679
1600601969.932509;-0.053192;-0.149948;-1.041611
1600601969.951948;-0.045151;-0.129791;-1.024246
1600601969.971388;-0.048355;-0.091583;-1.024109
1600601969.990797;-0.049316;-0.056244;-1.054260
1600601970.010237;-0.050049;-0.044525;-1.085953
1600601970.029646;-0.025757;-0.044968;-1.082718
1600601970.049086;-0.021774;-0.042389;-1.035416
1600601970.068495;-0.005600;-0.061340;-0.976959
1600601970.087879;0.005219;-0.078934;-0.940262
1600601970.107319;0.005051;-0.110107;-0.923828
1600601970.126728;-0.003540;-0.119858;-0.922058
1600601970.146168;-0.005234;-0.116837;-0.937744
1600601970.165577;-0.009033;-0.122635;-0.946381
1600601970.185016;-0.018082;-0.114624;-0.930298
1600601970.204426;-0.008698;-0.126816;-0.909637
1600601970.223835;-0.012665;-0.129135;-0.908951
1600601970.243275;-0.006317;-0.133530;-0.904434
1600601970.262684;0.027023;-0.143173;-0.870911
1600601970.282093;0.022293;-0.125748;-0.858002
1600601970.301533;0.011292;-0.134491;-0.878464
1600601970.320942;0.017624;-0.125992;-0.899734
1600601970.340351;0.033020;-0.120071;-0.897385
1600601970.359791;0.047592;-0.114548;-0.888382
1600601970.379200;0.070053;-0.114105;-0.884720
