timestamp;quaternion x;quaternion y;quaternion z;quaternion w;pitch (in radians);roll (in radians);yaw (in radians)
1600601969.619876;0.143798;-0.052088;0.007485;0.988207;0.287363;-0.109815;0.031052
1600601969.639865;0.141424;-0.051644;0.007271;0.988574;0.282612;-0.108682;0.030184
1600601969.659854;0.139196;-0.050908;0.007401;0.988928;0.278127;-0.107060;0.029966
1600601969.679843;0.136858;-0.049552;0.007530;0.989322;0.273442;-0.104157;0.029565
1600601969.699862;0.140478;-0.041156;0.006468;0.989207;0.281077;-0.086750;0.025356
1600601969.719851;0.137467;-0.040625;0.007204;0.989647;0.274954;-0.085709;0.026424
1600601969.739840;0.133781;-0.042438;0.009115;0.990060;0.267300;-0.089776;0.030490
1600601969.759829;0.132955;-0.041513;0.011276;0.990188;0.265472;-0.088419;0.034589
1600601969.779849;0.133707;-0.039854;0.013459;0.990128;0.266858;-0.085653;0.038688
1600601969.799838;0.134841;-0.038706;0.015371;0.989992;0.269027;-0.083895;0.042410
1600601969.819827;0.135995;-0.038293;0.017370;0.989817;0.271202;-0.083684;0.046517
1600601969.839816;0.137001;-0.038411;0.019414;0.989635;0.273052;-0.084575;0.050856
1600601969.859805;0.137890;-0.038500;0.021237;0.989471;0.274682;-0.085346;0.054723
1600601969.879824;0.138213;-0.039331;0.022950;0.989355;0.275136;-0.087569;0.058516
1600601969.899813;0.138560;-0.038616;0.024439;0.989299;0.275748;-0.086552;0.061414
1600601969.919802;0.138373;-0.037491;0.026011;0.989329;0.275306;-0.084665;0.064306
1600601969.939791;0.136795;-0.036734;0.027510;0.989536;0.272050;-0.083386;0.067007
1600601969.959811;0.133793;-0.036436;0.028844;0.989919;0.265909;-0.082859;0.069347
1600601969.979800;0.129117;-0.035346;0.030069;0.990543;0.256469;-0.080507;0.071080
1600601969.999789;0.124630;-0.032662;0.031284;0.991172;0.247537;-0.074896;0.072426
1600601970.019778;0.121460;-0.029493;0.033272;0.991600;0.241251;-0.068612;0.075402
1600601970.039742;0.118684;-0.027135;0.036055;0.991906;0.235665;-0.064207;0.080270
1600601970.059762;0.115168;-0.025805;0.039736;0.992215;0.228475;-0.062011;0.087170
1600601970.079751;0.109960;-0.024325;0.043466;0.992687;0.217917;-0.059289;0.094003
1600601970.099740;0.102977;-0.022689;0.046614;0.993332;0.203874;-0.055861;0.099502
1600601970.119729;0.096627;-0.020267;0.049147;0.993900;0.191247;-0.050731;0.103684
1600601970.139718;0.092727;-0.018052;0.051477;0.994196;0.183547;-0.046234;0.107719
1600601970.159737;0.090476;-0.016858;0.053706;0.994307;0.179066;-0.043960;0.111868
1600601970.179726;0.088375;-0.016076;0.055733;0.994397;0.174857;-0.042483;0.115701
1600601970.199715;0.085623;-0.015176;0.057684;0.994541;0.169368;-0.040658;0.119324
1600601970.219704;0.081935;-0.012968;0.059595;0.994770;0.162178;-0.036047;0.122603
1600601970.239724;0.076941;-0.008782;0.062042;0.995065;0.152624;-0.027346;0.126630
1600601970.259713;0.070459;-0.003528;0.065346;0.995366;0.140263;-0.016394;0.132263
1600601970.279702;0.063263;0.001486;0.068522;0.995641;0.126515;-0.005756;0.137793
1600601970.299691;0.056661;0.005308;0.071086;0.995845;0.113851;0.002534;0.142379
1600601970.319680;0.050920;0.007955;0.073045;0.995996;0.102776;0.008452;0.145980
1600601970.339699;0.045541;0.010500;0.074479;0.996127;0.092425;0.014196;0.148603
1600601970.359688;0.040142;0.013285;0.075679;0.996235;0.082084;0.020465;0.150797
1600601970.379677;0.034292;0.015507;0.077282;0.996299;0.070786;0.025666;0.153920
1600601970.399666;0.028256;0.017587;0.078893;0.996327;0.059114;0.030645;0.157132
1600601970.419686;0.022882;0.020709;0.079798;0.996333;0.048922;0.037669;0.158921
1600601970.439675;0.019293;0.024100;0.079579;0.996350;0.042294;0.045010;0.158450
1600601970.459664;0.019436;0.027432;0.078747;0.996328;0.043062;0.051673;0.156633
1600601970.479653;0.020982;0.028758;0.077857;0.996329;0.046305;0.054123;0.154717
1600601970.499642;0.023702;0.028166;0.076456;0.996393;0.051563;0.052599;0.151809
1600601970.519661;0.027204;0.027628;0.073610;0.996533;0.058320;0.051169;0.145971
1600601970.539650;0.030530;0.027450;0.070195;0.996688;0.064756;0.050560;0.138986
1600601970.559639;0.034456;0.027314;0.067951;0.996719;0.072461;0.049917;0.134328
1600601970.579629;0.039348;0.026872;0.066754;0.996631;0.082111;0.048493;0.131767
1600601970.599648;0.042992;0.025550;0.065908;0.996572;0.089175;0.045454;0.130049
1600601970.619637;0.044052;0.024729;0.064517;0.996637;0.091124;0.043803;0.127291
1600601970.639626;0.043226;0.023906;0.062237;0.996838;0.089272;0.042463;0.122811
1600601970.659615;0.041902;0.022771;0.059715;0.997076;0.086386;0.040567;0.117885
1600601970.679604;0.040550;0.021785;0.056681;0.997331;0.083451;0.039003;0.111915
1600601970.699624;0.038520;0.021127;0.053838;0.997583;0.079211;0.038133;0.106321
1600601970.719613;0.037241;0.021082;0.052681;0.997694;0.076606;0.038265;0.104042
1600601970.739602;0.039584;0.020707;0.053214;0.997583;0.081270;0.037233;0.105071
1600601970.759591;0.044321;0.018977;0.054339;0.997358;0.090595;0.033179;0.107354
1600601970.779610;0.045749;0.016163;0.055182;0.997297;0.093169;0.027311;0.109277
1600601970.799599;0.044122;0.014573;0.054961;0.997407;0.089737;0.024321;0.109005
1600601970.819588;0.041100;0.012842;0.054051;0.997609;0.083489;0.021255;0.107367
1600601970.839577;0.037753;0.010244;0.053202;0.997817;0.076505;0.016475;0.105906
1600601970.859566;0.035353;0.007905;0.052598;0.997958;0.071454;0.012090;0.104883
1600601970.879586;0.034353;0.005993;0.052028;0.998037;0.069249;0.008408;0.103875
1600601970.899575;0.034262;0.003530;0.051690;0.998069;0.068811;0.003513;0.103366
1600601970.919564;0.034211;0.001023;0.051324;0.998095;0.068450;-0.001473;0.102805
1600601970.939553;0.033231;-0.001054;0.051029;0.998144;0.066279;-0.005508;0.102342
1600601970.959572;0.032387;-0.001712;0.050821;0.998181;0.064527;-0.006725;0.101957
1600601970.979561;0.031246;-0.002083;0.050771;0.998219;0.062209;-0.007345;0.101865
1600601970.999550;0.029592;-0.002640;0.050835;0.998265;0.058847;-0.008295;0.102002
1600601971.019539;0.028081;-0.002596;0.050703;0.998315;0.055834;-0.008044;0.101715
