timestamp;x (in G's);y (in G's);z (in G's)
1603186393.928411;0.005112;-0.162277;-0.940506
1603186393.938146;0.006973;-0.165497;-0.936432
1603186393.947850;0.012878;-0.167999;-0.935669
1603186393.957586;0.020905;-0.169022;-0.936981
1603186393.967290;0.030563;-0.171326;-0.936142
1603186393.976995;0.034058;-0.169479;-0.945755
1603186393.986730;0.038605;-0.167236;-0.957733
1603186393.996434;0.042191;-0.164566;-0.967560
1603186394.006139;0.045212;-0.166336;-0.972748
1603186394.015874;0.045441;-0.167145;-0.979630
1603186394.025579;0.047318;-0.162201;-0.982864
1603186394.035283;0.041534;-0.161163;-0.978699
1603186394.045018;0.037720;-0.165512;-0.956741
1603186394.054723;0.046371;-0.174789;-0.939148
1603186394.064428;0.059677;-0.185806;-0.924103
1603186394.074163;0.071350;-0.197556;-0.909744
1603186394.083867;0.077469;-0.206024;-0.906555
1603186394.093602;0.077850;-0.212250;-0.903809
1603186394.103307;0.077881;-0.217941;-0.906921
1603186394.113012;0.077515;-0.216812;-0.920975
1603186394.122747;0.072388;-0.213974;-0.940247
1603186394.132451;0.060806;-0.208344;-0.959686
1603186394.142186;0.049255;-0.204742;-0.977417
1603186394.151891;0.034668;-0.198746;-0.995468
1603186394.161596;0.024033;-0.191330;-1.019180
1603186394.171331;0.019150;-0.186371;-1.032654
1603186394.181035;0.022934;-0.177811;-1.050888
1603186394.190770;0.023056;-0.167358;-1.064285
1603186394.200475;0.020950;-0.163223;-1.059631
1603186394.210180;0.017700;-0.156143;-1.059616
1603186394.219915;0.015793;-0.149628;-1.061707
1603186394.229619;0.019073;-0.148880;-1.045853
1603186394.239324;0.022369;-0.155594;-1.023239
1603186394.249059;0.023239;-0.162354;-0.994186
1603186394.258763;0.023376;-0.169037;-0.967285
1603186394.268468;0.016724;-0.168747;-0.946518
1603186394.278203;0.011047;-0.165436;-0.940720
1603186394.287908;0.010223;-0.168915;-0.937332
1603186394.297643;0.015274;-0.172028;-0.941620
1603186394.307347;0.017441;-0.183212;-0.940277
1603186394.317052;0.019760;-0.189911;-0.937469
1603186394.326787;0.018356;-0.191422;-0.936783
1603186394.336492;0.015015;-0.192566;-0.933975
1603186394.346227;0.008942;-0.190506;-0.932190
1603186394.355931;0.003326;-0.188034;-0.936661
1603186394.365636;0.000702;-0.193039;-0.939636
1603186394.375371;0.002548;-0.201309;-0.937790
1603186394.385076;0.002777;-0.208572;-0.939377
1603186394.394780;0.007095;-0.212646;-0.940125
1603186394.404515;0.010315;-0.210892;-0.936218
1603186394.414220;0.016434;-0.204208;-0.935532
1603186394.423955;0.022995;-0.205429;-0.938110
1603186394.433660;0.023392;-0.203751;-0.938690
1603186394.443364;0.024506;-0.200668;-0.937088
1603186394.453099;0.027847;-0.203156;-0.939880
1603186394.462804;0.027695;-0.199707;-0.947403
1603186394.472509;0.027115;-0.205154;-0.954895
1603186394.482244;0.025696;-0.209839;-0.958191
1603186394.491948;0.017029;-0.213165;-0.961441
1603186394.501683;0.014694;-0.217438;-0.968384
1603186394.511388;0.016846;-0.215820;-0.971954
1603186394.521093;0.020615;-0.213318;-0.970459
1603186394.530828;0.021912;-0.217041;-0.970200
1603186394.540532;0.023438;-0.216995;-0.971542
1603186394.550237;0.024597;-0.214371;-0.967270
1603186394.559972;0.030457;-0.211090;-0.973404
1603186394.569677;0.031189;-0.210495;-0.969452
1603186394.579412;0.032669;-0.215561;-0.968826
1603186394.589116;0.038849;-0.223938;-0.966721
1603186394.598821;0.042801;-0.232819;-0.963989
1603186394.608556;0.044739;-0.234955;-0.966904
1603186394.618261;0.045944;-0.236786;-0.967560
1603186394.627996;0.045975;-0.231033;-0.967346
1603186394.637700;0.043121;-0.227188;-0.967926
1603186394.647405;0.039337;-0.221573;-0.979523
1603186394.657140;0.037033;-0.216766;-0.995575
1603186394.666845;0.034256;-0.205109;-1.014359
1603186394.676549;0.035797;-0.195541;-1.039627
1603186394.686284;0.029678;-0.181305;-1.060089
1603186394.695989;0.029739;-0.169922;-1.075974
1603186394.705693;0.022171;-0.158066;-1.079605
1603186394.715429;0.021774;-0.140137;-1.085876
1603186394.725133;0.021347;-0.133347;-1.079987
1603186394.734838;0.019638;-0.126007;-1.060196
1603186394.744573;0.005859;-0.119293;-1.050034
1603186394.754277;-0.000534;-0.116547;-1.036255
1603186394.763982;-0.002914;-0.121338;-1.019974
1603186394.773717;-0.004395;-0.125336;-1.006973
1603186394.783422;-0.006058;-0.125153;-0.997696
1603186394.793157;-0.001144;-0.119644;-0.997955
1603186394.802861;0.000748;-0.114700;-0.997589
1603186394.812566;-0.010864;-0.109131;-0.998413
1603186394.822301;-0.016937;-0.106689;-0.998032
1603186394.832006;-0.019028;-0.092102;-0.999313
1603186394.841677;-0.017685;-0.078491;-1.002014
1603186394.851412;-0.017059;-0.071915;-1.001663
1603186394.861117;-0.018829;-0.071426;-1.003311
1603186394.870822;-0.018982;-0.072479;-0.999191
1603186394.880557;-0.018051;-0.071304;-0.993561
1603186394.890261;-0.018448;-0.067841;-0.985046
1603186394.899996;-0.021103;-0.061844;-0.971634
1603186394.909701;-0.017899;-0.052185;-0.962006
1603186394.919406;-0.022232;-0.047089;-0.975510
1603186394.929141;-0.019119;-0.052048;-0.979797
1603186394.938845;-0.015503;-0.064743;-0.976227
1603186394.948550;-0.020401;-0.071976;-0.978180
1603186394.958285;-0.033340;-0.076385;-0.971664
1603186394.967990;-0.036713;-0.078262;-0.966248
1603186394.977694;-0.036530;-0.083038;-0.953323
1603186394.987429;-0.039856;-0.091690;-0.939453
1603186394.997134;-0.047668;-0.100342;-0.930817
1603186395.006838;-0.051193;-0.108612;-0.919846
1603186395.016574;-0.053772;-0.110321;-0.917374
1603186395.026278;-0.045425;-0.112030;-0.922012
1603186395.035983;-0.031616;-0.111771;-0.930527
1603186395.045718;-0.019638;-0.113220;-0.949509
1603186395.055422;-0.008759;-0.104813;-0.973877
1603186395.065127;-0.010895;-0.094696;-0.999878
1603186395.074862;-0.020020;-0.080414;-1.021088
1603186395.084567;-0.029099;-0.076965;-1.033264
1603186395.094271;-0.037643;-0.076843;-1.038681
1603186395.104006;-0.050125;-0.084091;-1.040710
1603186395.113711;-0.056808;-0.103088;-1.022522
1603186395.123416;-0.053146;-0.119888;-1.001846
1603186395.133151;-0.049011;-0.130875;-0.980911
1603186395.142855;-0.047760;-0.132599;-0.965012
1603186395.152560;-0.049347;-0.133118;-0.954666
1603186395.162295;-0.052582;-0.145950;-0.946045
1603186395.172000;-0.057266;-0.157394;-0.941360
1603186395.181704;-0.055145;-0.166382;-0.939163
1603186395.191439;-0.062576;-0.172409;-0.938248
1603186395.201144;-0.067947;-0.173370;-0.936859
1603186395.210848;-0.067535;-0.174042;-0.938217
1603186395.220584;-0.068649;-0.177551;-0.942368
1603186395.230288;-0.061981;-0.184875;-0.941422
1603186395.240023;-0.052322;-0.188690;-0.942429
1603186395.249728;-0.049103;-0.188782;-0.942780
1603186395.259432;-0.048401;-0.183212;-0.939758
1603186395.269168;-0.044907;-0.175827;-0.937546
1603186395.278872;-0.036484;-0.171417;-0.932892
1603186395.288577;-0.030823;-0.174576;-0.927063
1603186395.298312;-0.026260;-0.175934;-0.925705
1603186395.308016;-0.017838;-0.175552;-0.929199
1603186395.317721;-0.007690;-0.177795;-0.935898
1603186395.327456;-0.013123;-0.176880;-0.931488
1603186395.337161;-0.023895;-0.179550;-0.921371
1603186395.346896;-0.030014;-0.179184;-0.909897
1603186395.356600;-0.032394;-0.178223;-0.907990
1603186395.366305;-0.030426;-0.181030;-0.903564
1603186395.376040;-0.029999;-0.182816;-0.906830
1603186395.385745;-0.028015;-0.181976;-0.912491
1603186395.395449;-0.021103;-0.185516;-0.914185
1603186395.405184;-0.015427;-0.189697;-0.918381
1603186395.414889;-0.010864;-0.187500;-0.924423
1603186395.424624;-0.003860;-0.182495;-0.936234
1603186395.434329;-0.002914;-0.176407;-0.950546
1603186395.444033;-0.012589;-0.166962;-0.966217
1603186395.453768;-0.026352;-0.157303;-0.980499
1603186395.463473;-0.035202;-0.149078;-1.004761
1603186395.473208;-0.041702;-0.137436;-1.022705
1603186395.482913;-0.036499;-0.133179;-1.034119
1603186395.492617;-0.030991;-0.132965;-1.034760
1603186395.502352;-0.023163;-0.132553;-1.036789
1603186395.512057;-0.009247;-0.136337;-1.034363
1603186395.521762;-0.007202;-0.143799;-1.019531
1603186395.531497;-0.010712;-0.146332;-1.014267
1603186395.541201;-0.004440;-0.134232;-1.023163
1603186395.550906;0.008972;-0.119507;-1.048752
1603186395.560641;0.020493;-0.108582;-1.073975
1603186395.570345;0.022415;-0.109909;-1.087585
1603186395.580050;0.026749;-0.117996;-1.085129
1603186395.589785;0.009033;-0.111359;-1.083801
1603186395.599490;-0.012421;-0.094162;-1.078354
1603186395.609194;-0.018631;-0.074509;-1.074295
1603186395.618929;-0.013504;-0.061523;-1.068069
1603186395.628634;0.000549;-0.058731;-1.068634
1603186395.638339;0.013123;-0.055786;-1.072754
1603186395.648074;0.018448;-0.065628;-1.071274
1603186395.657778;0.022293;-0.070099;-1.062759
1603186395.667483;0.021561;-0.068588;-1.054138
1603186395.677218;0.018768;-0.061234;-1.038086
1603186395.686923;0.014557;-0.047470;-1.026154
1603186395.696627;0.007004;-0.043747;-1.003479
1603186395.706362;-0.004410;-0.044418;-0.984100
1603186395.716067;-0.016388;-0.044464;-0.984589
1603186395.725802;-0.029175;-0.043747;-0.988403
1603186395.735507;-0.018417;-0.046555;-0.973755
1603186395.745211;0.001465;-0.056107;-0.956589
1603186395.754946;0.017624;-0.068375;-0.942383
1603186395.764651;0.033737;-0.074844;-0.919556
1603186395.774355;0.039856;-0.073166;-0.909775
1603186395.784091;0.039688;-0.069489;-0.909042
1603186395.793795;0.033676;-0.071732;-0.918671
1603186395.803530;0.030777;-0.084534;-0.939087
1603186395.813235;0.028687;-0.092453;-0.951981
1603186395.822939;0.023163;-0.093262;-0.952499
1603186395.832675;0.027664;-0.086731;-0.953262
1603186395.842329;0.036972;-0.079727;-0.949158
1603186395.852034;0.042603;-0.078369;-0.947357
1603186395.861769;0.046082;-0.076752;-0.949249
1603186395.871473;0.052658;-0.075287;-0.952866
1603186395.881209;0.057159;-0.071609;-0.971054
1603186395.890913;0.066879;-0.061890;-0.999069
1603186395.900618;0.075012;-0.053268;-1.024872
1603186395.910353;0.076080;-0.054565;-1.034317
1603186395.920057;0.078110;-0.058655;-1.042419
1603186395.929793;0.077911;-0.066544;-1.043579
1603186395.939497;0.077087;-0.078766;-1.030869
1603186395.949202;0.071335;-0.086044;-0.999252
1603186395.958937;0.052750;-0.088562;-0.976959
1603186395.968641;0.036377;-0.099594;-0.943314
1603186395.978377;0.034698;-0.109772;-0.917542
1603186395.988081;0.038208;-0.125427;-0.904282
1603186395.997786;0.048645;-0.141235;-0.901321
1603186396.007521;0.053833;-0.147598;-0.900772
1603186396.017225;0.058197;-0.148849;-0.897934
1603186396.026961;0.051208;-0.148666;-0.892685
1603186396.036665;0.042252;-0.152771;-0.885849
1603186396.046370;0.039948;-0.155502;-0.880234
1603186396.056105;0.037949;-0.159866;-0.873062
1603186396.065809;0.036469;-0.167862;-0.866409
1603186396.075514;0.039017;-0.175339;-0.865204
1603186396.085249;0.047623;-0.176468;-0.872040
1603186396.094954;0.054932;-0.175629;-0.884094
1603186396.104689;0.065903;-0.176331;-0.905121
1603186396.114393;0.070419;-0.175552;-0.932495
1603186396.124098;0.061127;-0.169464;-0.959930
1603186396.133833;0.057159;-0.159714;-0.984116
1603186396.143538;0.054581;-0.153473;-0.997864
1603186396.153273;0.053116;-0.144592;-1.014175
1603186396.162977;0.053055;-0.136536;-1.027084
1603186396.172682;0.048004;-0.128586;-1.041641
1603186396.182417;0.046844;-0.119705;-1.048553
1603186396.192122;0.051849;-0.112885;-1.037796
1603186396.201857;0.055695;-0.110367;-1.037689
1603186396.211561;0.056732;-0.116089;-1.043259
1603186396.221266;0.049454;-0.127853;-1.042130
1603186396.231001;0.045914;-0.134399;-1.031555
1603186396.240706;0.046661;-0.134003;-1.027771
1603186396.250410;0.047455;-0.131775;-1.023804
1603186396.260145;0.053635;-0.120575;-1.022812
1603186396.269850;0.055603;-0.111313;-1.019699
1603186396.279585;0.047394;-0.092621;-1.027725
1603186396.289290;0.034683;-0.077560;-1.040512
1603186396.298994;0.030655;-0.067749;-1.046692
1603186396.308729;0.037689;-0.067871;-1.049576
1603186396.318434;0.044266;-0.074753;-1.046005
1603186396.328169;0.052979;-0.081497;-1.035080
1603186396.337874;0.051315;-0.078949;-1.026108
1603186396.347578;0.038193;-0.070389;-1.026260
1603186396.357313;0.025848;-0.068726;-1.040359
1603186396.367018;0.018890;-0.060516;-1.042252
1603186396.376753;0.017990;-0.062637;-1.043732
1603186396.386458;0.015045;-0.070206;-1.029327
1603186396.396193;0.020401;-0.078003;-1.010345
1603186396.405897;0.012192;-0.078186;-0.989685
1603186396.415602;-0.008728;-0.064590;-0.988251
1603186396.425337;-0.033401;-0.044998;-0.997269
1603186396.435042;-0.046326;-0.031418;-1.022583
1603186396.444777;-0.053162;-0.014923;-1.066223
1603186396.454481;-0.048096;-0.001984;-1.126770
1603186396.464216;-0.040192;-0.006134;-1.152664
1603186396.473921;-0.034927;-0.006836;-1.150696
1603186396.483626;-0.034744;-0.002701;-1.125198
1603186396.493361;-0.038223;0.010208;-1.073532
1603186396.503065;-0.043274;0.013351;-1.012589
1603186396.512800;-0.051437;0.007706;-0.953201
1603186396.522505;-0.060425;-0.009384;-0.882645
1603186396.532240;-0.079361;-0.032440;-0.855927
1603186396.541945;-0.084137;-0.043610;-0.854065
1603186396.551649;-0.072617;-0.063049;-0.848969
1603186396.561384;-0.054550;-0.087906;-0.863480
1603186396.571089;-0.037735;-0.109650;-0.889023
1603186396.580824;-0.038849;-0.115875;-0.902252
1603186396.590529;-0.059784;-0.108917;-0.911148
1603186396.600233;-0.081985;-0.093643;-0.921677
1603186396.609968;-0.086548;-0.082870;-0.932129
1603186396.619673;-0.090286;-0.075729;-0.947388
1603186396.629408;-0.084000;-0.072220;-0.964630
1603186396.639113;-0.070877;-0.069626;-0.984375
1603186396.648848;-0.059082;-0.062820;-1.005890
1603186396.658552;-0.046310;-0.054947;-1.020432
1603186396.668287;-0.037277;-0.044571;-1.028870
1603186396.677992;-0.028107;-0.041153;-1.018723
1603186396.687697;-0.019348;-0.038895;-1.004379
1603186396.697432;-0.009369;-0.041977;-0.976746
1603186396.707136;0.006790;-0.043350;-0.948853
1603186396.716871;0.017227;-0.048264;-0.924515
1603186396.726576;0.023865;-0.053955;-0.912903
1603186396.736311;0.034210;-0.062866;-0.913055
1603186396.746016;0.037247;-0.069641;-0.925552
1603186396.755720;0.022934;-0.075531;-0.937576
1603186396.765455;-0.000381;-0.081619;-0.941986
1603186396.775160;-0.013885;-0.095123;-0.939117
1603186396.784895;-0.023605;-0.115585;-0.932526
1603186396.794600;-0.027451;-0.130569;-0.917313
1603186396.804304;-0.036346;-0.143433;-0.898621
1603186396.814039;-0.047577;-0.150787;-0.886139
1603186396.823744;-0.049057;-0.151657;-0.882614
1603186396.833479;-0.053177;-0.153809;-0.889542
1603186396.843168;-0.052444;-0.158234;-0.892639
1603186396.852903;-0.045975;-0.160248;-0.900467
1603186396.862607;-0.031158;-0.162827;-0.909348
1603186396.872312;-0.020340;-0.161789;-0.919174
1603186396.882047;-0.018005;-0.153259;-0.918427
1603186396.891752;-0.010941;-0.140533;-0.921860
1603186396.901487;0.002991;-0.128922;-0.931244
1603186396.911191;0.014328;-0.122375;-0.946136
1603186396.920896;0.018646;-0.124832;-0.953293
1603186396.930631;0.016556;-0.133942;-0.960236
1603186396.940336;0.013382;-0.138611;-0.975296
1603186396.950071;0.008011;-0.144653;-0.991547
1603186396.959775;0.000748;-0.148804;-1.007553
1603186396.969480;-0.008560;-0.147812;-1.015015
1603186396.979215;-0.011322;-0.137955;-1.027527
1603186396.988920;-0.009186;-0.114151;-1.050278
1603186396.998655;-0.002884;-0.089951;-1.073990
1603186397.008359;-0.003494;-0.074722;-1.096268
1603186397.018064;-0.006561;-0.077652;-1.111603
1603186397.027799;-0.016769;-0.082336;-1.137482
1603186397.037504;-0.034912;-0.078873;-1.140884
1603186397.047239;-0.050125;-0.074600;-1.124390
1603186397.056943;-0.051285;-0.074982;-1.085876
1603186397.066648;-0.049805;-0.084671;-1.043335
1603186397.076383;-0.043930;-0.091690;-1.016357
1603186397.086088;-0.034088;-0.098434;-1.011642
1603186397.095823;-0.022766;-0.103012;-1.022354
1603186397.105527;-0.017059;-0.109024;-1.042419
1603186397.115232;-0.014481;-0.112076;-1.063721
1603186397.124967;-0.020370;-0.107407;-1.075531
1603186397.134672;-0.027267;-0.096603;-1.074020
1603186397.144407;-0.032455;-0.084061;-1.059525
1603186397.154111;-0.037720;-0.068008;-1.048096
1603186397.163816;-0.042755;-0.052521;-1.054977
1603186397.173551;-0.041946;-0.044022;-1.071320
1603186397.183256;-0.037033;-0.042816;-1.100403
1603186397.192991;-0.027374;-0.043777;-1.112808
1603186397.202695;-0.015839;-0.041168;-1.105820
1603186397.212400;-0.014359;-0.028290;-1.102249
1603186397.222135;-0.012146;-0.011795;-1.084061
1603186397.231840;-0.007584;0.005829;-1.052567
1603186397.241575;-0.012314;0.015915;-1.013107
1603186397.251279;-0.012939;0.009583;-0.975388
1603186397.261014;-0.005142;0.005310;-0.947083
1603186397.270719;0.016571;0.004562;-0.930130
1603186397.280424;0.034134;0.001434;-0.924011
1603186397.290159;0.053558;-0.012741;-0.915375
1603186397.299863;0.070023;-0.028534;-0.923203
1603186397.309598;0.076431;-0.039139;-0.934219
1603186397.319303;0.071243;-0.039337;-0.943634
1603186397.329008;0.052933;-0.039886;-0.947601
1603186397.338743;0.032120;-0.039200;-0.950180
1603186397.348447;0.022385;-0.040634;-0.949585
1603186397.358182;0.027481;-0.042130;-0.946716
1603186397.367887;0.031723;-0.043686;-0.943878
1603186397.377591;0.033493;-0.049362;-0.936325
1603186397.387327;0.024933;-0.056488;-0.933670
1603186397.397031;0.020920;-0.060226;-0.929367
1603186397.406766;0.031464;-0.058090;-0.942978
1603186397.416471;0.044525;-0.058533;-0.949814
1603186397.426206;0.042236;-0.062195;-0.953720
1603186397.435911;0.039413;-0.073151;-0.951111
1603186397.445646;0.038986;-0.087570;-0.932739
1603186397.455350;0.028915;-0.101685;-0.909515
1603186397.465055;0.030441;-0.103806;-0.891510
1603186397.474790;0.034943;-0.106964;-0.886185
1603186397.484495;0.035294;-0.109726;-0.888046
1603186397.494230;0.032639;-0.107452;-0.893600
1603186397.503934;0.031876;-0.108673;-0.909729
1603186397.513669;0.033798;-0.106384;-0.927536
1603186397.523374;0.035950;-0.114288;-0.936356
1603186397.533109;0.039398;-0.117737;-0.939590
1603186397.542814;0.040802;-0.122650;-0.937790
1603186397.552518;0.040573;-0.117569;-0.935577
1603186397.562253;0.037506;-0.121964;-0.934494
1603186397.571958;0.031326;-0.122452;-0.935043
1603186397.581693;0.026581;-0.127380;-0.939423
1603186397.591398;0.031799;-0.128601;-0.945023
1603186397.601133;0.032623;-0.126053;-0.949921
1603186397.610837;0.040283;-0.119476;-0.953110
1603186397.620542;0.044754;-0.113129;-0.959671
1603186397.630277;0.043625;-0.117142;-0.960785
1603186397.639982;0.033875;-0.130249;-0.964249
1603186397.649717;0.007416;-0.142685;-0.971802
1603186397.659421;0.000717;-0.142639;-0.980209
1603186397.669156;0.000000;-0.143280;-0.985153
1603186397.678861;0.002258;-0.150482;-0.988876
1603186397.688596;0.012466;-0.156418;-0.986038
1603186397.698301;0.021790;-0.153625;-0.987717
1603186397.708005;0.033325;-0.142410;-0.993988
1603186397.717740;0.047852;-0.133347;-1.007797
1603186397.727445;0.053055;-0.113510;-1.032471
1603186397.737180;0.053864;-0.083801;-1.054443
1603186397.746885;0.050278;-0.063828;-1.081253
1603186397.756589;0.060333;-0.055939;-1.108932
1603186397.766324;0.078232;-0.068771;-1.124176
1603186397.776029;0.078064;-0.084885;-1.115341
1603186397.785764;0.065842;-0.083374;-1.097855
1603186397.795469;0.037308;-0.066177;-1.081497
1603186397.805173;0.012238;-0.047073;-1.067459
1603186397.814908;0.000717;-0.044678;-1.064987
1603186397.824613;-0.000839;-0.049103;-1.044388
1603186397.834348;0.008804;-0.071884;-1.037872
1603186397.844008;0.017746;-0.093170;-1.026535
1603186397.853744;0.022308;-0.094376;-1.018738
1603186397.863447;0.013748;-0.075363;-1.018860
1603186397.873152;0.002838;-0.047134;-1.021530
1603186397.882887;-0.013855;-0.026337;-1.051285
