timestamp;x (in radians/s);y (in radians/s);z (in radians/s)
1603186394.006668;-0.215041;0.036708;0.030396
1603186394.016678;-0.198948;0.066691;0.066993
1603186394.026687;-0.150900;0.128342;0.117029
1603186394.036667;-0.069398;0.199662;0.173317
1603186394.046676;0.028740;0.228852;0.220975
1603186394.056656;0.129182;0.204087;0.255506
1603186394.066665;0.210887;0.130369;0.274173
1603186394.076675;0.264092;0.024120;0.278973
1603186394.086654;0.284106;-0.089514;0.269049
1603186394.096664;0.262339;-0.188651;0.245800
1603186394.106643;0.198456;-0.256222;0.206746
1603186394.116653;0.093219;-0.287169;0.164061
1603186394.126663;-0.027500;-0.287944;0.117297
1603186394.136642;-0.146874;-0.251983;0.076598
1603186394.146652;-0.250956;-0.204022;0.052193
1603186394.156631;-0.318935;-0.172372;0.035277
1603186394.166641;-0.348655;-0.159647;0.025600
1603186394.176651;-0.338507;-0.167194;0.017869
1603186394.186630;-0.283582;-0.141063;0.013265
1603186394.196640;-0.202471;-0.068412;0.013531
1603186394.206619;-0.117291;-0.019820;0.011571
1603186394.216629;-0.046161;0.014417;0.010470
1603186394.226639;0.008643;0.042077;0.017818
1603186394.236618;0.047726;0.050134;0.034553
1603186394.246628;0.076685;0.049237;0.049757
1603186394.256607;0.087587;0.043169;0.059604
1603186394.266617;0.072817;0.033218;0.059737
1603186394.276626;0.037951;0.018683;0.054368
1603186394.286606;-0.007711;0.000614;0.047999
1603186394.296615;-0.055131;-0.007438;0.050923
1603186394.306595;-0.086821;0.000052;0.064341
1603186394.316604;-0.097910;0.011010;0.082906
1603186394.326584;-0.087956;0.032530;0.099909
1603186394.336593;-0.063562;0.042957;0.102303
1603186394.346603;-0.042277;0.028896;0.093331
1603186394.356582;-0.028050;0.011120;0.072278
1603186394.366592;-0.021837;-0.001296;0.040850
1603186394.376571;-0.027497;-0.025518;0.004990
1603186394.386581;-0.039321;-0.049934;-0.028520
1603186394.396591;-0.057706;-0.067427;-0.057959
1603186394.406570;-0.073355;-0.075016;-0.065904
1603186394.416580;-0.091335;-0.069950;-0.058705
1603186394.426559;-0.100531;-0.057202;-0.037257
1603186394.436569;-0.099818;-0.039934;-0.011837
1603186394.446579;-0.099760;-0.033695;0.002972
1603186394.456558;-0.098565;-0.044249;0.004328
1603186394.466568;-0.094201;-0.054973;-0.005009
1603186394.476547;-0.090349;-0.058136;-0.015112
1603186394.486557;-0.086269;-0.046990;-0.026941
1603186394.496566;-0.084841;-0.035674;-0.045645
