timestamp;x (in microteslas);y (in microteslas);z (in microteslas)
1603186393.944260;117.625397;173.867004;-431.514740
1603186393.954240;118.893387;173.803482;-431.692047
1603186393.964219;118.827911;173.831757;-431.700928
1603186393.974198;118.954269;174.047134;-431.732391
1603186393.984208;118.452606;173.794296;-431.480835
1603186393.994187;119.318161;174.246994;-431.725922
1603186394.004166;118.826859;173.919205;-431.502777
1603186394.014146;118.817139;174.123993;-431.464996
1603186394.024125;119.489395;174.401306;-431.446136
1603186394.034104;118.403564;174.275436;-431.540894
1603186394.044114;119.148895;174.093887;-431.706787
1603186394.054124;118.572144;173.924286;-431.286621
1603186394.064103;118.922180;173.783173;-431.575165
1603186394.074082;119.463516;173.928787;-431.234924
1603186394.084061;119.093674;173.455856;-431.124115
1603186394.094071;119.313370;173.610321;-431.559235
1603186394.104050;118.590851;173.108429;-431.614075
1603186394.114060;118.940338;172.983368;-431.281250
1603186394.124039;119.302353;173.331573;-431.581879
1603186394.134019;118.938400;172.933731;-431.436218
1603186394.144028;119.326035;172.706421;-432.082886
1603186394.154008;118.213959;172.802383;-431.872498
1603186394.163987;118.431610;172.915482;-431.861908
1603186394.173966;119.063141;173.350784;-431.958435
1603186394.183945;118.845734;172.903183;-432.248474
1603186394.193925;119.123810;173.278793;-432.137817
1603186394.203904;118.304230;173.236679;-431.961914
1603186394.213883;118.616928;173.050278;-432.125061
1603186394.223893;118.000031;173.029190;-432.011871
1603186394.233872;118.289383;173.107971;-432.275330
1603186394.243851;118.977524;173.110382;-432.595306
1603186394.253831;118.720169;173.149582;-431.889496
1603186394.263840;118.214325;172.859894;-432.169922
1603186394.273820;118.745377;173.136169;-431.749420
1603186394.283799;118.961395;172.914322;-432.463776
1603186394.293778;118.624985;173.114563;-431.717712
1603186394.303757;118.552094;172.901016;-432.169037
1603186394.313737;118.480209;172.999100;-432.160187
1603186394.323746;118.956223;173.117981;-431.895203
1603186394.333726;118.566666;172.923996;-432.326477
1603186394.343705;118.886642;173.119751;-431.997375
1603186394.353684;118.135330;172.850266;-432.309814
1603186394.363663;118.925781;172.766403;-431.919250
1603186394.373643;119.075760;172.632095;-431.937378
1603186394.383622;118.527756;172.817291;-431.914612
1603186394.393632;119.161880;172.816742;-431.922363
1603186394.403611;118.079926;172.639694;-431.968445
1603186394.413590;118.621994;173.002319;-432.339813
1603186394.423569;119.140503;173.112366;-432.552368
1603186394.433549;118.242813;173.227463;-432.203827
1603186394.443558;118.921494;173.130859;-432.140625
1603186394.453538;118.431152;173.073196;-432.331512
