timestamp;x (in microteslas);y (in microteslas);z (in microteslas)
1600601969.495486;104.526459;145.585678;-417.810791
1600601969.515444;104.338913;145.981506;-418.283508
1600601969.535403;104.904968;145.712997;-418.315735
1600601969.555361;105.423141;145.967819;-418.394867
1600601969.575320;105.680588;146.228210;-418.495361
1600601969.595278;104.965576;146.190109;-418.640778
1600601969.615237;104.820572;146.059662;-418.901031
1600601969.635195;105.428970;146.337357;-419.002258
1600601969.655154;105.876480;146.505768;-419.064636
1600601969.675112;105.765503;146.407501;-419.471008
1600601969.695071;104.952942;146.188980;-419.224609
1600601969.715060;104.996078;146.405838;-419.524048
1600601969.735049;105.194244;146.597336;-419.787598
1600601969.755007;105.003891;146.591095;-419.845398
1600601969.774966;105.853683;146.730743;-419.947266
1600601969.794924;104.961746;146.521637;-419.437317
1600601969.814883;104.904434;145.947952;-419.707764
1600601969.834841;104.929398;145.781372;-419.034302
1600601969.854800;105.675659;145.794907;-419.038391
1600601969.874758;105.359711;145.643188;-418.528412
1600601969.894717;104.600204;145.260727;-418.668640
1600601969.914675;104.905273;145.356079;-418.522827
1600601969.934634;104.526093;145.100723;-418.343445
1600601969.954592;104.680115;145.451447;-418.736328
1600601969.974551;105.163284;145.377441;-418.289124
1600601969.994509;104.400726;144.845657;-418.156738
1600601970.014468;104.474442;145.026260;-418.448120
1600601970.034426;104.165512;144.862045;-418.257904
1600601970.054385;104.701706;144.831650;-418.024109
1600601970.074318;104.890564;144.524719;-417.966492
1600601970.094277;103.840561;144.014206;-417.881226
1600601970.114266;103.897827;143.894958;-417.895081
1600601970.134224;103.509521;143.781967;-417.846832
1600601970.154183;103.918442;143.831848;-417.918274
1600601970.174141;104.258575;143.447586;-417.867828
1600601970.194100;103.682388;143.350616;-418.029785
1600601970.214058;103.438278;143.243301;-417.987213
1600601970.234017;103.021103;143.276138;-418.128784
1600601970.254006;103.010712;143.382706;-418.497437
1600601970.273934;103.340302;143.359406;-418.534424
1600601970.293892;103.310379;143.229660;-418.618591
1600601970.313851;102.951752;143.119690;-418.870148
1600601970.333809;102.569214;143.215622;-419.100464
1600601970.353768;102.730942;143.146301;-419.236938
1600601970.373726;103.052048;143.431396;-419.498840
1600601970.393685;102.608978;143.400803;-419.702515
1600601970.413674;103.195801;143.471695;-420.191040
1600601970.433602;103.090240;143.544037;-420.441223
1600601970.453560;102.843964;143.628036;-420.639801
1600601970.473519;103.500137;143.900635;-420.525269
